epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2814,1.6439,3.53778,1.67564,0.88906,0.10035,0.10436,0.05984,1.59707,3.59242,1.51643,0.000232591,0.000232591,0.000232591
2,29.3913,1.5493,2.55078,1.6379,0.39569,0.26575,0.22191,0.11107,1.70196,2.56821,1.61198,0.000465932,0.000465932,0.000465932
3,43.4807,1.51035,2.17311,1.61057,0.35598,0.32172,0.28711,0.14347,1.62146,2.23496,1.589,0.000694561,0.000694561,0.000694561
4,57.9223,1.47362,2.02605,1.591,0.40892,0.34021,0.31125,0.14942,1.62604,2.29132,1.58734,0.000692794,0.000692794,0.000692794
5,72.39,1.46099,1.92343,1.58342,0.51469,0.3278,0.32535,0.15185,1.7235,2.15951,1.70907,0.000685726,0.000685726,0.000685726
6,86.8809,1.4314,1.85342,1.55578,0.49519,0.3811,0.38572,0.19222,1.60171,1.92419,1.57798,0.000678657,0.000678657,0.000678657
7,101.259,1.41361,1.77414,1.53674,0.48656,0.41685,0.41366,0.21246,1.54913,1.8985,1.53747,0.000671588,0.000671588,0.000671588
8,115.454,1.37896,1.72779,1.52158,0.55777,0.40526,0.43368,0.20724,1.60648,1.85194,1.59091,0.00066452,0.00066452,0.00066452
9,129.881,1.33941,1.67017,1.49964,0.56919,0.41052,0.43115,0.22006,1.52659,1.88478,1.5039,0.000657451,0.000657451,0.000657451
10,144.493,1.34925,1.61229,1.48338,0.579,0.41236,0.44485,0.22227,1.55602,1.76363,1.51171,0.000650383,0.000650383,0.000650383
11,159.071,1.32874,1.57022,1.47303,0.59047,0.39105,0.4386,0.21707,1.60564,1.8121,1.56349,0.000643314,0.000643314,0.000643314
12,173.382,1.32894,1.55785,1.47234,0.60814,0.42896,0.46695,0.24073,1.54498,1.7614,1.50819,0.000636245,0.000636245,0.000636245
13,188.182,1.31275,1.55476,1.47493,0.58405,0.45497,0.47485,0.24989,1.47982,1.79866,1.45294,0.000629177,0.000629177,0.000629177
14,203.61,1.29413,1.47482,1.43527,0.583,0.43468,0.46389,0.23201,1.53019,1.94261,1.49366,0.000622108,0.000622108,0.000622108
15,218.331,1.28981,1.46734,1.44184,0.64193,0.46045,0.49923,0.25476,1.57253,1.64904,1.54494,0.00061504,0.00061504,0.00061504
16,232.976,1.26995,1.45053,1.41983,0.67656,0.47484,0.52481,0.26677,1.59761,1.58587,1.52978,0.000607971,0.000607971,0.000607971
17,247.217,1.27174,1.41837,1.41801,0.69574,0.46407,0.52443,0.27354,1.51696,1.55452,1.50593,0.000600902,0.000600902,0.000600902
18,261.549,1.27109,1.40115,1.40907,0.6355,0.47313,0.51712,0.27375,1.48414,1.55308,1.44502,0.000593834,0.000593834,0.000593834
19,275.723,1.26278,1.38411,1.39941,0.65228,0.49034,0.53566,0.28708,1.44579,1.50467,1.4244,0.000586765,0.000586765,0.000586765
20,290.097,1.25034,1.36528,1.39518,0.63235,0.47872,0.52044,0.26881,1.52087,1.644,1.47196,0.000579697,0.000579697,0.000579697
21,304.176,1.24251,1.37124,1.39916,0.66852,0.48107,0.5402,0.29466,1.42881,1.51006,1.40964,0.000572628,0.000572628,0.000572628
22,318.32,1.24795,1.34964,1.38503,0.67878,0.49403,0.55055,0.28472,1.48073,1.48323,1.44172,0.000565559,0.000565559,0.000565559
23,332.52,1.22589,1.30608,1.38348,0.66963,0.4768,0.53366,0.28255,1.50132,1.51818,1.46635,0.000558491,0.000558491,0.000558491
24,347.084,1.21161,1.27569,1.36834,0.64995,0.52952,0.56651,0.30772,1.42243,1.44197,1.40378,0.000551422,0.000551422,0.000551422
25,361.867,1.20741,1.27414,1.35681,0.7238,0.51247,0.57561,0.31327,1.41986,1.39756,1.38934,0.000544354,0.000544354,0.000544354
26,376.178,1.20267,1.28012,1.37358,0.7334,0.48971,0.57362,0.31187,1.42104,1.39913,1.39453,0.000537285,0.000537285,0.000537285
27,390.388,1.19003,1.27056,1.35789,0.71978,0.51723,0.57681,0.31924,1.40941,1.37201,1.38462,0.000530216,0.000530216,0.000530216
28,404.716,1.19503,1.2257,1.35657,0.74403,0.48867,0.56693,0.30374,1.44516,1.39826,1.41849,0.000523148,0.000523148,0.000523148
29,419.474,1.19706,1.22811,1.35912,0.72132,0.49472,0.56272,0.30656,1.41248,1.41946,1.38698,0.000516079,0.000516079,0.000516079
30,433.707,1.19539,1.23238,1.35179,0.70157,0.53671,0.5865,0.31572,1.43975,1.33612,1.402,0.000509011,0.000509011,0.000509011
31,447.595,1.15887,1.19727,1.33221,0.74257,0.5066,0.58458,0.33,1.37457,1.32519,1.36815,0.000501942,0.000501942,0.000501942
32,461.731,1.16474,1.19881,1.34061,0.75401,0.53286,0.59634,0.33401,1.37683,1.31633,1.36295,0.000494873,0.000494873,0.000494873
33,475.928,1.15759,1.17077,1.33557,0.72442,0.52031,0.58691,0.3213,1.39849,1.33593,1.36901,0.000487805,0.000487805,0.000487805
34,490.244,1.15124,1.16825,1.32867,0.7369,0.53973,0.60219,0.34033,1.38275,1.29393,1.36735,0.000480736,0.000480736,0.000480736
35,504.555,1.15821,1.15364,1.32295,0.70928,0.53436,0.5902,0.33568,1.37473,1.30202,1.36439,0.000473668,0.000473668,0.000473668
36,518.811,1.1424,1.15327,1.31928,0.7459,0.54601,0.61158,0.33145,1.41932,1.25594,1.40708,0.000466599,0.000466599,0.000466599
